Dejounte Murray|NOP|PG,SG|89|79|92|88|81|91
CJ McCollum|WAS|SG,PG|85|94|84|65|56|79
Anfernee Simons|BOS|SG,PG|83|96|82|60|49|94
Draymond Green|GSW|PF,C|75|70|92|99|88|76
Josh Hart|NYK|SG,SF|83|76|82|89|96|88
Paul George|PHI|SF,SG|86|92|83|91|79|82
Onyeka Okongwu|ATL|C,PF|90|65|66|89|90|90
Immanuel Quickley|TOR|PG,SG|79|90|87|82|65|88
Andrew Nembhard|IND|PG,SG|83|84|90|90|63|84
Jalen Johnson|ATL|PF,SF|93|78|89|87|96|96
Alex Sarr|WAS|C,PF|82|72|67|92|85|91
Aaron Nesmith|IND|SF,SG|80|91|51|91|73|87
Shaedon Sharpe|POR|SG,SF|91|84|66|71|71|99
Bobby Portis|MIL|PF,C|90|88|59|72|94|76
